planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
lama,ROCK,3,17,level_03_seed_017,9.04,406,39
lama,ROCK,4,26,level_04_seed_026,9.76,617,48
lama,ROCK,0,18,level_00_seed_018,0.13,70,14
lama,ROCK,3,14,level_03_seed_014,8.07,322,36
lama,ROCK,4,28,level_04_seed_028,5.27,614,42
lama,ROCK,1,1,level_01_seed_001,0.43,68,12
lama,ROCK,2,21,level_02_seed_021,0.14,70,14
lama,ROCK,3,18,level_03_seed_018,8.45,427,49
lama,ROCK,0,6,level_00_seed_006,0.56,50,10
lama,ROCK,0,23,level_00_seed_023,0.58,88,14
lama,ROCK,2,7,level_02_seed_007,1.1,112,13
lama,ROCK,4,8,level_04_seed_008,9.67,216,36
lama,ROCK,0,16,level_00_seed_016,0.12,70,14
lama,ROCK,4,17,level_04_seed_017,7.86,765,53
lama,ROCK,1,0,level_01_seed_000,0.97,264,15
lama,ROCK,4,2,level_04_seed_002,8.78,510,42
lama,ROCK,2,3,level_02_seed_003,0.13,70,14
lama,ROCK,1,2,level_01_seed_002,0.63,77,13
lama,ROCK,1,18,level_01_seed_018,0.47,158,17
lama,ROCK,4,11,level_04_seed_011,8.35,379,42
lama,ROCK,3,26,level_03_seed_026,8.97,633,49
lama,ROCK,2,12,level_02_seed_012,1.26,211,15
lama,ROCK,2,18,level_02_seed_018,0.13,70,14
lama,ROCK,4,21,level_04_seed_021,7.99,459,35
lama,ROCK,3,10,level_03_seed_010,8.19,475,52
lama,ROCK,2,6,level_02_seed_006,0.68,143,17
lama,ROCK,1,15,level_01_seed_015,0.42,50,10
lama,ROCK,2,2,level_02_seed_002,0.49,138,16
lama,ROCK,3,19,level_03_seed_019,7.89,384,40
lama,ROCK,4,14,level_04_seed_014,7.13,378,41

